Stock Invested in,Sector,Sector Total,Value(Mn),% of Total Holdings,1M Change,1Y Highest Holding,1Y Lowest Holding,Quantity,1M Change in Qty,M-Cap,GroupName,Fund Name,Fund Id,MF ACF,MF Type
Nestle India Ltd.,Packaged foods,1.64,363.5,1.08%,0.02%,1.13% (Oct 2023),0% (Mar 2023),1.40 L,0.00,Other,16.98,sundaram-large-cap-fund-direct-plan-growth,MSN1539,Equity,11_large
Tata Consumer Products Ltd.,Tea & coffee,1.08,363,1.08%,0.05%,1.08% (Feb 2024),0.76% (Mar 2023),3.05 L,0.00,Mid Cap,7.18,sundaram-large-cap-fund-direct-plan-growth,MSN1539,Equity,11_large
ITC Limited,Diversified fmcg,2.93,359.6,1.07%,-0.11%,1.31% (Jul 2023),0.82% (Mar 2023),8.85 L,0.00,Large Cap,75.1,sundaram-large-cap-fund-direct-plan-growth,MSN1539,Equity,11_large
Adani Ports And Special Economic Zone Ltd.,Port & port services,1.05,352.6,1.05%,0.55%,1.05% (Feb 2024),0% (Mar 2023),2.67 L,1.32 L,Large Cap,75.1,sundaram-large-cap-fund-direct-plan-growth,MSN1539,Equity,11_large
Titan Company Ltd.,"Gems, jewellery and watches",1.02,344.3,1.02%,-0.04%,1.06% (Jan 2024),0.84% (Mar 2023),95.00 k,0.00,Large Cap,75.1,sundaram-large-cap-fund-direct-plan-growth,MSN1539,Equity,11_large
Sona BLW Precision Forgings Ltd.,Auto components & equipments,1.01,339.9,1.01%,0.09%,1.28% (May 2023),0.88% (Nov 2023),4.93 L,0.00,Other,16.98,sundaram-large-cap-fund-direct-plan-growth,MSN1539,Equity,11_large
Dr. Reddys Laboratories Ltd.,Pharmaceuticals,7.72,334.1,0.99%,0.03%,1.22% (Nov 2023),0% (Mar 2023),52.00 k,0.00,Large Cap,75.1,sundaram-large-cap-fund-direct-plan-growth,MSN1539,Equity,11_large
Jio Financial Services Ltd.,Non banking financial company (nbfc),3.43,323.3,0.96%,0.18%,0.96% (Feb 2024),0% (Mar 2023),10.43 L,0.00,Other,16.98,sundaram-large-cap-fund-direct-plan-growth,MSN1539,Equity,11_large
LTIMindtree Ltd.,Computers - software & consulting,12.09,318.1,0.94%,-0.04%,1.13% (Dec 2023),0.73% (Apr 2023),60.00 k,0.00,Mid Cap,7.18,sundaram-large-cap-fund-direct-plan-growth,MSN1539,Equity,11_large
Procter & Gamble Hygiene & Health Care Ltd.,Personal care,1.04,263.8,0.78%,-0.09%,0.98% (Oct 2023),0.76% (May 2023),16.76 k,0.00,Large Cap,75.1,sundaram-large-cap-fund-direct-plan-growth,MSN1539,Equity,11_large
Info Edge (India) Ltd.,Internet & catalogue retail,0.73,247.6,0.73%,0.02%,0.73% (Feb 2024),0% (Mar 2023),47.00 k,0.00,Mid Cap,7.18,sundaram-large-cap-fund-direct-plan-growth,MSN1539,Equity,11_large
Avenue Supermarts Ltd.,Diversified retail,0.73,246.9,0.73%,0.01%,0.8% (Jun 2023),0.72% (Jan 2024),63.00 k,0.00,Large Cap,75.1,sundaram-large-cap-fund-direct-plan-growth,MSN1539,Equity,11_large
SBI Life Insurance Co Ltd.,Life insurance,0.66,222,0.66%,0.05%,0.66% (Feb 2024),0.55% (Mar 2023),1.43 L,0.00,Large Cap,75.1,sundaram-large-cap-fund-direct-plan-growth,MSN1539,Equity,11_large
Havells India Ltd.,Consumer electronics,0.58,194.5,0.58%,0.08%,0.58% (Feb 2024),0.5% (Jan 2024),1.27 L,0.00,Large Cap,75.1,sundaram-large-cap-fund-direct-plan-growth,MSN1539,Equity,11_large
NIIT Learning Systems Ltd.,Education,0.57,192.2,0.57%,0.04%,0.57% (Feb 2024),0% (Mar 2023),3.70 L,0.00,Other,16.98,sundaram-large-cap-fund-direct-plan-growth,MSN1539,Equity,11_large
"#
Union Bank Of India",Public sector bank,5.14,191.6,0.57%,0.57%,0.57% (Feb 2024),0% (Mar 2023),13.10 L,13.10 L,Mid Cap,7.18,sundaram-large-cap-fund-direct-plan-growth,MSN1539,Equity,11_large
Britannia Industries Ltd.,Packaged foods,1.64,188.7,0.56%,-0.04%,0.62% (Jun 2023),0.55% (Aug 2023),38.00 k,0.00,Large Cap,75.1,sundaram-large-cap-fund-direct-plan-growth,MSN1539,Equity,11_large
Hindalco Industries Ltd.,Aluminium,0.53,177.8,0.53%,-0.29%,0.94% (Mar 2023),0.53% (Feb 2024),3.53 L,-1.13 L,Large Cap,75.1,sundaram-large-cap-fund-direct-plan-growth,MSN1539,Equity,11_large
Alkem Laboratories Ltd.,Pharmaceuticals,7.72,164.1,0.49%,0.00%,0.81% (Dec 2023),0% (Mar 2023),32.00 k,0.00,Mid Cap,7.18,sundaram-large-cap-fund-direct-plan-growth,MSN1539,Equity,11_large
Canara Bank,Public sector bank,5.14,127,0.38%,0.05%,0.66% (Jul 2023),0.24% (Aug 2023),2.25 L,0.00,Mid Cap,7.18,sundaram-large-cap-fund-direct-plan-growth,MSN1539,Equity,11_large
Apollo Hospitals Enterprises Ltd.,Hospital,0.34,115.9,0.34%,-0.02%,0.61% (Jun 2023),0.3% (Aug 2023),19.00 k,0.00,Mid Cap,7.18,sundaram-large-cap-fund-direct-plan-growth,MSN1539,Equity,11_large
"-
Tata Steel Ltd.",Iron & steel products,0.33,112.7,0.33%,0.01%,0.33% (Dec 2023),0% (Mar 2023),8.00 L,0.00,Other,16.98,sundaram-large-cap-fund-direct-plan-growth,MSN1539,Equity,11_large
FSN E-Commerce Ventures Ltd.,E-retail/ e-commerce,0.32,107,0.32%,-0.31%,0.83% (Nov 2023),0% (Mar 2023),6.82 L,-6.00 L,Other,16.98,sundaram-large-cap-fund-direct-plan-growth,MSN1539,Equity,11_large
ABB India Ltd.,Heavy electrical equipment,0.29,98,0.29%,0.04%,0.48% (Jun 2023),0.25% (Oct 2023),18.00 k,0.00,Large Cap,75.1,sundaram-large-cap-fund-direct-plan-growth,MSN1539,Equity,11_large
"-
Marico Ltd.",Personal care,1.04,86.2,0.26%,-0.01%,0.31% (Aug 2023),0% (Mar 2023),1.65 L,0.00,Large Cap,75.1,sundaram-large-cap-fund-direct-plan-growth,MSN1539,Equity,11_large
Dalmia Bharat Ltd.,Cement & cement products,1.92,64.2,0.19%,-0.03%,0.4% (Aug 2023),0% (Mar 2023),31.69 k,0.00,Mid Cap,7.18,sundaram-large-cap-fund-direct-plan-growth,MSN1539,Equity,11_large
Tata Motors Ltd.,Passenger cars & utility vehicles,4.84,55.9,0.17%,0.01%,0.17% (Feb 2024),0.09% (Mar 2023),58.79 k,0.00,Large Cap,75.1,sundaram-large-cap-fund-direct-plan-growth,MSN1539,Equity,11_large
Ashok Leyland Ltd.,Commercial vehicles,,316.8,0.00%,-0.96%,-,-,-,-,Mid Cap,7.18,sundaram-large-cap-fund-direct-plan-growth,MSN1539,Equity,11_large
ICICI Bank Ltd.,Private sector bank,22.85,1224,9.02%,-0.79%,9.88% (Jul 2023),7.9% (Mar 2023),11.63 L,-1.05 L,Large Cap,65.28,bandhan-large-cap-fund-direct-plan-growth,MAG725,Equity,11_large
Reliance Industries Ltd.,Refineries & marketing,8.84,1199.4,8.84%,0.57%,9.32% (Mar 2023),6.85% (Jun 2023),4.11 L,25.06 k,Large Cap,65.28,bandhan-large-cap-fund-direct-plan-growth,MAG725,Equity,11_large
HDFC Bank Ltd.,Private sector bank,22.85,936.9,6.90%,1.88%,9.98% (Dec 2023),5.02% (Jan 2024),6.68 L,2.11 L,Other,18.18,bandhan-large-cap-fund-direct-plan-growth,MAG725,Equity,11_large
Infosys Ltd.,Computers - software & consulting,10.85,805.7,5.94%,0.33%,5.94% (Feb 2024),4.93% (Oct 2023),4.81 L,32.08 k,Large Cap,65.28,bandhan-large-cap-fund-direct-plan-growth,MAG725,Equity,11_large
Larsen & Toubro Ltd.,Civil construction,3.93,533.8,3.93%,-0.09%,4.51% (Dec 2023),2.29% (May 2023),1.53 L,0.00,Large Cap,65.28,bandhan-large-cap-fund-direct-plan-growth,MAG725,Equity,11_large
Tata Consultancy Services Ltd.,Computers - software & consulting,10.85,531.5,3.92%,0.67%,3.92% (Feb 2024),2.14% (Jun 2023),1.30 L,16.52 k,Large Cap,65.28,bandhan-large-cap-fund-direct-plan-growth,MAG725,Equity,11_large
Tata Motors Ltd.,Passenger cars & utility vehicles,5.06,417.9,3.08%,-0.19%,3.27% (Jan 2024),0.99% (Mar 2023),4.40 L,-0.51 L,Large Cap,65.28,bandhan-large-cap-fund-direct-plan-growth,MAG725,Equity,11_large
Sun Pharmaceutical Industries Ltd.,Pharmaceuticals,5.47,417.7,3.08%,0.42%,3.08% (Feb 2024),0.76% (May 2023),2.65 L,15.84 k,Large Cap,65.28,bandhan-large-cap-fund-direct-plan-growth,MAG725,Equity,11_large
Varun Beverages Ltd.,Other beverages,3.05,413.8,3.05%,0.01%,3.05% (Feb 2024),0% (Mar 2023),2.94 L,-0.22 L,Other,18.18,bandhan-large-cap-fund-direct-plan-growth,MAG725,Equity,11_large
Bajaj Auto Ltd.,2/3 wheelers,5.57,410.2,3.02%,-0.28%,3.3% (Jan 2024),0% (Mar 2023),51.86 k,-5.35 k,Large Cap,65.28,bandhan-large-cap-fund-direct-plan-growth,MAG725,Equity,11_large
Axis Bank Ltd.,Private sector bank,22.85,398.5,2.94%,-0.04%,4.63% (Jun 2023),2.8% (Oct 2023),3.71 L,0.00,Large Cap,65.28,bandhan-large-cap-fund-direct-plan-growth,MAG725,Equity,11_large
ITC Limited,Diversified fmcg,2.89,392.1,2.89%,-0.59%,5.18% (Oct 2023),2.89% (Feb 2024),9.65 L,-0.84 L,Large Cap,65.28,bandhan-large-cap-fund-direct-plan-growth,MAG725,Equity,11_large
Mankind Pharma Ltd.,Pharmaceuticals,5.47,323.9,2.39%,0.11%,2.39% (Feb 2024),0% (Mar 2023),1.52 L,0.00,Other,18.18,bandhan-large-cap-fund-direct-plan-growth,MAG725,Equity,11_large
Titan Company Ltd.,"Gems, jewellery and watches",2.31,313.3,2.31%,-0.09%,2.4% (Jan 2024),1.27% (Aug 2023),86.45 k,0.00,Large Cap,65.28,bandhan-large-cap-fund-direct-plan-growth,MAG725,Equity,11_large
Shriram Finance Ltd.,Non banking financial company (nbfc),5.9,282.8,2.08%,-0.59%,2.67% (Jan 2024),0% (Mar 2023),1.16 L,-0.28 L,Mid Cap,7.79,bandhan-large-cap-fund-direct-plan-growth,MAG725,Equity,11_large
Trent Limited,Speciality retail,2.07,281,2.07%,0.14%,2.07% (Feb 2024),0.5% (Apr 2023),72.40 k,-0.11 L,Mid Cap,7.79,bandhan-large-cap-fund-direct-plan-growth,MAG725,Equity,11_large
Indusind Bank Ltd.,Private sector bank,22.85,279.7,2.06%,-2.08%,4.14% (Jan 2024),2.06% (Feb 2024),1.90 L,-1.69 L,Large Cap,65.28,bandhan-large-cap-fund-direct-plan-growth,MAG725,Equity,11_large
National Thermal Power Corporation Ltd.,Power generation,2.05,278.8,2.05%,-0.69%,3.19% (Dec 2023),0.96% (May 2023),8.31 L,-3.15 L,Large Cap,65.28,bandhan-large-cap-fund-direct-plan-growth,MAG725,Equity,11_large
Coal India Ltd.,Coal,2.02,274.5,2.02%,-1.14%,3.16% (Jan 2024),0% (Mar 2023),6.29 L,-4.06 L,Large Cap,65.28,bandhan-large-cap-fund-direct-plan-growth,MAG725,Equity,11_large
Commercial Engineers & Body Builders Co. Ltd.,"Engineering, designing, construction",2,271.8,2.00%,0.84%,2% (Feb 2024),0% (Mar 2023),7.31 L,3.50 L,Small Cap,5.38,bandhan-large-cap-fund-direct-plan-growth,MAG725,Equity,11_large
Grasim Industries Limited,Cement & cement products,2.02,269.6,1.99%,-0.02%,2.58% (Dec 2023),0% (Mar 2023),1.23 L,0.00,Large Cap,65.28,bandhan-large-cap-fund-direct-plan-growth,MAG725,Equity,11_large
"#
Maruti Suzuki India Ltd.",Passenger cars & utility vehicles,5.06,268.2,1.98%,1.98%,1.98% (Feb 2024),0% (Mar 2023),23.76 k,23.76 k,Large Cap,65.28,bandhan-large-cap-fund-direct-plan-growth,MAG725,Equity,11_large
Cholamandalam Investment & Finance Co. Ltd.,Non banking financial company (nbfc),5.9,263.7,1.94%,-0.43%,2.37% (Jan 2024),1.53% (Mar 2023),2.42 L,-0.24 L,Other,18.18,bandhan-large-cap-fund-direct-plan-growth,MAG725,Equity,11_large
"#
Kotak Mahindra Bank Ltd.",Private sector bank,22.85,261.9,1.93%,1.93%,3.13% (Apr 2023),0% (Mar 2023),1.55 L,1.55 L,Large Cap,65.28,bandhan-large-cap-fund-direct-plan-growth,MAG725,Equity,11_large
"#
Jio Financial Services Ltd.",Non banking financial company (nbfc),5.9,254.6,1.88%,1.88%,1.88% (Feb 2024),0% (Mar 2023),8.21 L,8.21 L,Other,18.18,bandhan-large-cap-fund-direct-plan-growth,MAG725,Equity,11_large
TVS Motor Company Ltd.,2/3 wheelers,5.57,211,1.55%,0.07%,1.55% (Feb 2024),0.93% (Jul 2023),98.62 k,0.00,Mid Cap,7.79,bandhan-large-cap-fund-direct-plan-growth,MAG725,Equity,11_large
Inox Wind Ltd.,Heavy electrical equipment,1.21,163.7,1.21%,0.23%,1.65% (Nov 2023),0% (Mar 2023),2.72 L,0.00,Small Cap,5.38,bandhan-large-cap-fund-direct-plan-growth,MAG725,Equity,11_large
DLF Ltd.,"Residential, commercial projects",2.36,160.7,1.18%,0.10%,1.18% (Feb 2024),0% (Mar 2023),1.78 L,0.00,Large Cap,65.28,bandhan-large-cap-fund-direct-plan-growth,MAG725,Equity,11_large
Phoenix Mills Ltd.,"Residential, commercial projects",2.36,160,1.18%,0.12%,1.18% (Feb 2024),0% (Mar 2023),57.95 k,0.00,Small Cap,5.38,bandhan-large-cap-fund-direct-plan-growth,MAG725,Equity,11_large
Indian Hotels Company Limited,Hotels & resorts,1.1,149.9,1.10%,0.06%,1.1% (Feb 2024),0% (Mar 2023),2.56 L,-0.25 L,Mid Cap,7.79,bandhan-large-cap-fund-direct-plan-growth,MAG725,Equity,11_large
"#
ICICI Lombard General Insurance Co Ltd.",General insurance,1.07,145.8,1.07%,1.07%,1.07% (Feb 2024),0% (Mar 2023),85.16 k,85.16 k,Large Cap,65.28,bandhan-large-cap-fund-direct-plan-growth,MAG725,Equity,11_large
"#
SBI Life Insurance Co Ltd.",Life insurance,2.01,139.7,1.03%,1.03%,1.03% (Feb 2024),0% (Mar 2023),89.99 k,89.99 k,Large Cap,65.28,bandhan-large-cap-fund-direct-plan-growth,MAG725,Equity,11_large
"#
DCX Systems Ltd.",Aerospace & defense,1.01,136.9,1.01%,1.01%,1.01% (Feb 2024),0% (Mar 2023),4.26 L,4.26 L,Other,18.18,bandhan-large-cap-fund-direct-plan-growth,MAG725,Equity,11_large
"#
Hero Motocorp Ltd.",2/3 wheelers,5.57,135.2,1.00%,1.00%,1% (Feb 2024),0% (Mar 2023),30.54 k,30.54 k,Large Cap,65.28,bandhan-large-cap-fund-direct-plan-growth,MAG725,Equity,11_large
Persistent Systems Ltd.,Computers - software & consulting,10.85,134.9,0.99%,-0.15%,1.14% (Jan 2024),0% (Mar 2023),15.63 k,-2.48 k,Small Cap,5.38,bandhan-large-cap-fund-direct-plan-growth,MAG725,Equity,11_large
L&T Technology Services Ltd.,It enabled services,0.99,134.7,0.99%,-0.08%,1.37% (May 2023),0.5% (Oct 2023),25.39 k,0.00,Mid Cap,7.79,bandhan-large-cap-fund-direct-plan-growth,MAG725,Equity,11_large
"#
Life Insurance Corporation Of India",Life insurance,2.01,132.3,0.98%,0.98%,0.98% (Feb 2024),0% (Mar 2023),1.29 L,1.29 L,Other,18.18,bandhan-large-cap-fund-direct-plan-growth,MAG725,Equity,11_large
"#
Grasim Industries Ltd. - Partly Paid Up",Cement & cement products,2.02,3.9,0.03%,0.03%,0.03% (Feb 2024),0% (Mar 2023),4.12 k,4.12 k,Other,18.18,bandhan-large-cap-fund-direct-plan-growth,MAG725,Equity,11_large
Power Finance Corporation Ltd.,Financial institution,,420.3,0.00%,-3.16%,-,-,-,-,Mid Cap,7.79,bandhan-large-cap-fund-direct-plan-growth,MAG725,Equity,11_large
Eureka Forbes Ltd.,Household appliances,,49.1,0.00%,-0.37%,-,-,-,-,Other,18.18,bandhan-large-cap-fund-direct-plan-growth,MAG725,Equity,11_large
InterGlobe Aviation Ltd.,Airline,,132,0.00%,-0.99%,-,-,-,-,Large Cap,65.28,bandhan-large-cap-fund-direct-plan-growth,MAG725,Equity,11_large
LTIMindtree Ltd.,Computers - software & consulting,10.85,130.1,0.00%,-0.98%,-,-,-,-,Mid Cap,7.79,bandhan-large-cap-fund-direct-plan-growth,MAG725,Equity,11_large
Rural Electrification Corporation Limited,Financial institution,,422.6,0.00%,-3.18%,-,-,-,-,Mid Cap,7.79,bandhan-large-cap-fund-direct-plan-growth,MAG725,Equity,11_large
Grasim Industries Ltd. - Rights,Cement & cement products,2.02,1.5,0.00%,-0.01%,-,-,-,-,Other,18.18,bandhan-large-cap-fund-direct-plan-growth,MAG725,Equity,11_large
HDFC Bank Ltd.,Private sector bank,22.71,104.2,8.98%,1.25%,9.71% (Apr 2023),5% (Jun 2023),74.21 k,13.84 k,Other,14.24,groww-large-cap-fund-direct-plan-growth,MIM031,Equity,11_large
ICICI Bank Ltd.,Private sector bank,22.71,102.6,8.84%,0.07%,9.58% (May 2023),8.08% (Nov 2023),97.48 k,0.00,Large Cap,68.98,groww-large-cap-fund-direct-plan-growth,MIM031,Equity,11_large
Larsen & Toubro Ltd.,Civil construction,8.35,96.9,8.35%,-0.14%,8.52% (Jan 2024),4.85% (May 2023),27.87 k,0.00,Large Cap,68.98,groww-large-cap-fund-direct-plan-growth,MIM031,Equity,11_large
Reliance Industries Ltd.,Refineries & marketing,5.89,68.3,5.89%,0.05%,9.2% (Apr 2023),2.02% (Jul 2023),23.39 k,0.00,Large Cap,68.98,groww-large-cap-fund-direct-plan-growth,MIM031,Equity,11_large
National Thermal Power Corporation Ltd.,Power generation,3.63,42.2,3.63%,0.14%,3.7% (Feb 2024),0% (Mar 2023),1.26 L,0.00,Large Cap,68.98,groww-large-cap-fund-direct-plan-growth,MIM031,Equity,11_large
State Bank Of India,Public sector bank,3.21,37.2,3.21%,0.42%,5.02% (Apr 2023),2.69% (Nov 2023),49.78 k,0.00,Large Cap,68.98,groww-large-cap-fund-direct-plan-growth,MIM031,Equity,11_large
Bharti Airtel Ltd.,Telecom - cellular & fixed line services,3.2,37.1,3.20%,-0.18%,3.97% (Apr 2023),2.32% (Jun 2023),33.04 k,0.00,Large Cap,68.98,groww-large-cap-fund-direct-plan-growth,MIM031,Equity,11_large
Axis Bank Ltd.,Private sector bank,22.71,36.7,3.16%,-0.03%,5.1% (Jun 2023),3.16% (Feb 2024),34.14 k,0.00,Large Cap,68.98,groww-large-cap-fund-direct-plan-growth,MIM031,Equity,11_large
Ultratech Cement Ltd.,Cement & cement products,4.51,34.6,2.98%,-0.13%,3.38% (Jun 2023),2.08% (Apr 2023),3.50 k,0.00,Large Cap,68.98,groww-large-cap-fund-direct-plan-growth,MIM031,Equity,11_large
Tata Consultancy Services Ltd.,Computers - software & consulting,12.18,34.4,2.96%,0.16%,2.99% (Feb 2024),0.97% (Jul 2023),8.39 k,0.00,Large Cap,68.98,groww-large-cap-fund-direct-plan-growth,MIM031,Equity,11_large
Persistent Systems Ltd.,Computers - software & consulting,12.18,32.5,2.80%,0.05%,2.85% (Feb 2024),1.82% (Jul 2023),3.76 k,0.00,Small Cap,7.03,groww-large-cap-fund-direct-plan-growth,MIM031,Equity,11_large
Zomato Ltd.,E-retail/ e-commerce,2.63,30.5,2.63%,0.38%,2.63% (Feb 2024),0.92% (Aug 2023),1.84 L,0.00,Other,14.24,groww-large-cap-fund-direct-plan-growth,MIM031,Equity,11_large
Mahindra & Mahindra Ltd.,Passenger cars & utility vehicles,6.65,30,2.58%,0.34%,2.58% (Feb 2024),0.78% (Jun 2023),15.51 k,0.00,Large Cap,68.98,groww-large-cap-fund-direct-plan-growth,MIM031,Equity,11_large
Bajaj Finance Ltd.,Non banking financial company (nbfc),3.86,24.8,2.14%,-0.16%,4.51% (Oct 2023),1.78% (Mar 2023),3.83 k,0.00,Large Cap,68.98,groww-large-cap-fund-direct-plan-growth,MIM031,Equity,11_large
"#
Maruti Suzuki India Ltd.",Passenger cars & utility vehicles,6.65,24.2,2.08%,2.08%,2.71% (May 2023),1.45% (Jul 2023),2.14 k,2.14 k,Large Cap,68.98,groww-large-cap-fund-direct-plan-growth,MIM031,Equity,11_large
Cummins India Ltd.,"Compressors, pumps & diesel engines",2.01,23.3,2.01%,0.30%,2.01% (Feb 2024),1.16% (Apr 2023),8.50 k,0.00,Mid Cap,7.62,groww-large-cap-fund-direct-plan-growth,MIM031,Equity,11_large
Tata Motors Ltd.,Passenger cars & utility vehicles,6.65,23.1,1.99%,-1.87%,3.86% (Jan 2024),1.51% (May 2023),24.33 k,-0.26 L,Large Cap,68.98,groww-large-cap-fund-direct-plan-growth,MIM031,Equity,11_large
Titan Company Ltd.,"Gems, jewellery and watches",1.98,23,1.98%,-0.07%,2.12% (Nov 2023),1.45% (Jul 2023),6.35 k,0.00,Large Cap,68.98,groww-large-cap-fund-direct-plan-growth,MIM031,Equity,11_large
Infosys Ltd.,Computers - software & consulting,12.18,22.2,1.91%,-0.02%,7.27% (Jul 2023),1.8% (Dec 2023),13.25 k,0.00,Large Cap,68.98,groww-large-cap-fund-direct-plan-growth,MIM031,Equity,11_large
Bajaj Auto Ltd.,2/3 wheelers,1.89,21.9,1.89%,-1.86%,3.75% (Jan 2024),0.5% (May 2023),2.77 k,-2.82 k,Large Cap,68.98,groww-large-cap-fund-direct-plan-growth,MIM031,Equity,11_large
HCL Technologies Limited,Computers - software & consulting,12.18,21.8,1.88%,0.08%,1.89% (Feb 2024),0.99% (Nov 2023),13.08 k,0.00,Large Cap,68.98,groww-large-cap-fund-direct-plan-growth,MIM031,Equity,11_large
Indusind Bank Ltd.,Private sector bank,22.71,20.1,1.73%,-0.10%,2.06% (Oct 2023),1.48% (Jul 2023),13.65 k,0.00,Large Cap,68.98,groww-large-cap-fund-direct-plan-growth,MIM031,Equity,11_large
Cholamandalam Investment & Finance Co. Ltd.,Non banking financial company (nbfc),3.86,19.9,1.72%,-0.18%,2.38% (Oct 2023),0.98% (May 2023),18.30 k,0.00,Other,14.24,groww-large-cap-fund-direct-plan-growth,MIM031,Equity,11_large
Sun Pharmaceutical Industries Ltd.,Pharmaceuticals,2.96,19.7,1.70%,0.15%,1.7% (Feb 2024),1.05% (May 2023),12.50 k,0.00,Large Cap,68.98,groww-large-cap-fund-direct-plan-growth,MIM031,Equity,11_large
DLF Ltd.,"Residential, commercial projects",1.6,18.6,1.60%,0.15%,1.6% (Feb 2024),1.01% (May 2023),20.65 k,0.00,Large Cap,68.98,groww-large-cap-fund-direct-plan-growth,MIM031,Equity,11_large
Motherson Sumi Systems Ltd.,Auto components & equipments,1.54,17.9,1.54%,0.05%,1.54% (Feb 2024),1.04% (Jul 2023),1.50 L,0.00,Large Cap,68.98,groww-large-cap-fund-direct-plan-growth,MIM031,Equity,11_large
InterGlobe Aviation Ltd.,Airline,1.54,17.8,1.54%,0.08%,1.54% (Feb 2024),1.37% (Sep 2023),5.65 k,0.00,Large Cap,68.98,groww-large-cap-fund-direct-plan-growth,MIM031,Equity,11_large
"#
Associated Cement Companies Ltd.",Cement & cement products,4.51,17.7,1.53%,1.53%,1.54% (Feb 2024),0% (Mar 2023),6.74 k,6.74 k,Mid Cap,7.62,groww-large-cap-fund-direct-plan-growth,MIM031,Equity,11_large
Bharat Electronics Ltd.,Aerospace & defense,2.82,17.4,1.50%,0.12%,1.5% (Feb 2024),1.07% (Jun 2023),84.62 k,0.00,Mid Cap,7.62,groww-large-cap-fund-direct-plan-growth,MIM031,Equity,11_large
Bharat Dynamics Ltd.,Aerospace & defense,2.82,15.4,1.32%,0.05%,1.32% (Feb 2024),0.83% (Oct 2023),8.48 k,0.00,Small Cap,7.03,groww-large-cap-fund-direct-plan-growth,MIM031,Equity,11_large
Lupin Ltd.,Pharmaceuticals,2.96,14.7,1.26%,0.07%,1.26% (Feb 2024),1.01% (Dec 2023),9.05 k,0.00,Large Cap,68.98,groww-large-cap-fund-direct-plan-growth,MIM031,Equity,11_large
Coforge Ltd.,Computers - software & consulting,12.18,12.8,1.10%,0.03%,1.13% (Feb 2024),0.98% (Oct 2023),1.95 k,0.00,Small Cap,7.03,groww-large-cap-fund-direct-plan-growth,MIM031,Equity,11_large
L&T Technology Services Ltd.,It enabled services,1.01,11.7,1.01%,-0.07%,1.08% (Jan 2024),0% (Mar 2023),2.21 k,0.00,Mid Cap,7.62,groww-large-cap-fund-direct-plan-growth,MIM031,Equity,11_large
"#
Supreme Industries Ltd.",Plastic products - industrial,0.98,11.3,0.98%,0.98%,0.98% (Feb 2024),0% (Mar 2023),2.73 k,2.73 k,Mid Cap,7.62,groww-large-cap-fund-direct-plan-growth,MIM031,Equity,11_large
"#
Tech Mahindra Ltd.",Computers - software & consulting,12.18,10.9,0.94%,0.94%,0.96% (Feb 2024),0% (Mar 2023),8.52 k,8.52 k,Large Cap,68.98,groww-large-cap-fund-direct-plan-growth,MIM031,Equity,11_large
Tata Steel Ltd.,Iron & steel products,0.91,10.5,0.91%,0.02%,1.22% (Apr 2023),0.79% (May 2023),74.86 k,0.00,Other,14.24,groww-large-cap-fund-direct-plan-growth,MIM031,Equity,11_large
CreditAccess Grameen Ltd.,Microfinance institutions,0.91,10.5,0.91%,-0.09%,1.17% (Nov 2023),0.91% (Feb 2024),7.16 k,0.00,Small Cap,7.03,groww-large-cap-fund-direct-plan-growth,MIM031,Equity,11_large
eClerx Services Ltd.,Business process outsourcing (bpo)/ knowledge process outsourcing (kpo),0.9,10.4,0.90%,0.37%,0.9% (Feb 2024),0% (Mar 2023),4.12 k,1.90 k,Small Cap,7.03,groww-large-cap-fund-direct-plan-growth,MIM031,Equity,11_large
LTIMindtree Ltd.,Computers - software & consulting,12.18,6.9,0.59%,-0.03%,0.62% (Feb 2024),0% (Mar 2023),1.30 k,0.00,Mid Cap,7.62,groww-large-cap-fund-direct-plan-growth,MIM031,Equity,11_large
ITC Limited,Diversified fmcg,,10.9,0.00%,-0.96%,-,-,-,-,Large Cap,68.98,groww-large-cap-fund-direct-plan-growth,MIM031,Equity,11_large
Mphasis Ltd.,Computers - software & consulting,12.18,17,0.00%,-1.49%,-,-,-,-,Mid Cap,7.62,groww-large-cap-fund-direct-plan-growth,MIM031,Equity,11_large
Birlasoft Ltd.,Computers - software & consulting,12.18,14.4,0.00%,-1.26%,-,-,-,-,Small Cap,7.03,groww-large-cap-fund-direct-plan-growth,MIM031,Equity,11_large
HDFC Bank Ltd.,Private sector bank,22.5,1155.3,8.39%,-0.20%,9.96% (Dec 2023),8.39% (Feb 2024),8.23 L,19.29 k,Other,13.38,lic-mf-large-cap-fund-direct-plan-growth,MJB161,Equity,11_large
Reliance Industries Ltd.,Refineries & marketing,7.99,1100.7,7.99%,0.14%,7.99% (Feb 2024),5.81% (Sep 2023),3.77 L,0.00,Large Cap,72.13,lic-mf-large-cap-fund-direct-plan-growth,MJB161,Equity,11_large
ICICI Bank Ltd.,Private sector bank,22.5,1039.6,7.55%,-0.63%,9.49% (May 2023),7.55% (Feb 2024),9.88 L,-1.00 L,Large Cap,72.13,lic-mf-large-cap-fund-direct-plan-growth,MJB161,Equity,11_large
Larsen & Toubro Ltd.,Civil construction,4.82,663.5,4.82%,0.43%,4.82% (Feb 2024),2.74% (Apr 2023),1.91 L,18.34 k,Large Cap,72.13,lic-mf-large-cap-fund-direct-plan-growth,MJB161,Equity,11_large
